full_name,forks,open_issues,watchers,size,has_wiki,has_pages,stars
codecrafters-io/build-your-own-x,47598,484,6679,1201,0,0,501936
sindresorhus/awesome,35030,76,8192,1561,0,1,467215
freeCodeCamp/freeCodeCamp,44611,186,8549,572380,0,0,444974
public-apis/public-apis,47726,1335,4601,5362,0,0,435425
EbookFoundation/free-programming-books,66307,79,9793,21361,0,1,388441
openclaw/openclaw,77217,6915,1807,1261408,0,0,372546
nilbuild/developer-roadmap,44079,15,6842,360751,1,0,354931
donnemartin/system-design-primer,56256,544,6843,11277,1,0,348950
jwasham/coding-interview-university,82909,111,8548,22700,0,0,346903
vinta/awesome-python,27924,19,6094,5589,0,1,298095
awesome-selfhosted/awesome-selfhosted,13565,0,3168,16808,0,0,293021
996icu/996.ICU,20871,16694,4209,189351,0,0,276194
practical-tutorials/project-based-learning,34583,298,3477,438,1,0,265895
facebook/react,51056,1300,6629,975534,0,1,245081
torvalds/linux,62342,3,8192,6298234,0,0,233465
TheAlgorithms/Python,50644,980,5977,16593,1,1,221134
trimstray/the-book-of-secret-knowledge,13199,141,2749,1748,0,0,220626
vuejs/vue,33849,623,5736,32152,1,0,209774
ossu/computer-science,25378,22,5950,1784,1,1,203871
trekhleb/javascript-algorithms,31072,406,4231,14903,0,0,195973
tensorflow/tensorflow,75304,5317,7387,1324481,0,0,195134
obra/superpowers,17294,279,771,2963,1,0,194576
ultraworkers/claw-code,109912,1405,2219,12432,0,0,191748
n8n-io/n8n,57721,1497,1091,555670,0,1,188275
ohmyzsh/ohmyzsh,26378,559,2625,13538,1,0,187086
affaan-m/everything-claude-code,28641,0,925,35002,1,0,185156
microsoft/vscode,39902,17592,3413,1257405,1,0,185001
getify/You-Dont-Know-JS,33564,2,5755,15241,0,0,184460
CyC2018/CS-Notes,51006,196,5224,116179,1,1,184373
Significant-Gravitas/AutoGPT,46231,418,1533,575609,1,0,184367
jackfrued/Python-100-Days,55695,697,6042,401142,1,0,182513
flutter/flutter,30374,12651,3478,443334,1,0,176345
massgravel/Microsoft-Activation-Scripts,16852,1,1417,12955,0,0,175495
twbs/bootstrap,78894,438,6631,294439,0,1,174245
github/gitignore,82524,65,3356,3148,0,0,173957
avelino/awesome-go,13215,185,2799,11173,0,1,172857
ollama/ollama,16157,3263,971,84298,0,0,171588
DigitalPlatDev/FreeDomain,2832,32,195,972,1,0,163205
AUTOMATIC1111/stable-diffusion-webui,30351,2487,1183,36552,1,0,163095
yt-dlp/yt-dlp,13648,2508,788,60601,1,0,162720
f/prompts.chat,21140,45,1632,350896,1,1,162392
anomalyco/opencode,18976,6093,625,262182,0,0,161444
jlevy/the-art-of-command-line,14805,254,2785,2772,0,0,160975
huggingface/transformers,33234,2352,1203,498745,1,0,160681
521xueweihan/HelloGitHub,11992,372,4854,9838,0,0,157286
Snailclimb/JavaGuide,46137,61,4446,180399,1,0,155726
NousResearch/hermes-agent,24607,11741,588,219192,1,1,153994
langflow-ai/langflow,9014,918,470,1279436,1,1,148324
airbnb/javascript,26683,159,3667,3738,1,1,148131
Genymobile/scrcpy,13086,2793,1360,8635,1,0,141799
langgenius/dify,22247,784,798,368798,0,0,141630
ytdl-org/youtube-dl,10661,4125,2155,65510,0,1,140311
yangshun/tech-interview-handbook,16580,44,2180,33749,1,0,139588
vercel/next.js,31081,3952,1547,2562280,0,0,139500
x1xhlol/system-prompts-and-models-of-ai-tools,34254,143,1637,1437,1,0,137518
open-webui/open-webui,19619,302,602,369716,1,0,137420
langchain-ai/langchain,22649,583,870,555836,0,0,136921
anthropics/skills,16039,854,877,3704,0,0,136050
golang/go,19024,10146,3320,436318,1,0,133929
labuladong/fucking-algorithm,23621,3,2267,126234,0,0,133459
multica-ai/andrej-karpathy-skills,13607,90,707,20,1,0,133235
microsoft/PowerToys,7981,6956,1171,499432,1,0,133212
Chalarangelo/30-seconds-of-code,12489,1,2585,742614,0,0,127840
krahets/hello-algo,15127,32,605,464747,0,1,126229
facebook/react-native,25146,1307,3532,967748,1,1,125830
anthropics/claude-code,20464,11040,763,27827,0,0,124262
microsoft/markitdown,8348,654,419,4255,1,0,123445
excalidraw/excalidraw,13668,3063,491,100952,0,0,123384
ripienaar/free-for-dev,12843,16,1744,9968,0,1,122408
kubernetes/kubernetes,43088,2699,3167,1471515,0,0,122313
electron/electron,17187,869,2783,201367,0,0,121305
firecrawl/firecrawl,7392,323,356,89343,0,0,120820
clash-verge-rev/clash-verge-rev,8640,322,318,75660,1,0,118664
nodejs/node,35546,2682,2953,1485263,0,0,117262
justjavac/free-programming-books-zh_CN,28313,32,5860,1059,0,0,116957
iptv-org/iptv,6140,35,2121,1236631,0,1,116269
shadcn-ui/ui,8827,1917,346,63133,0,0,114525
rustdesk/rustdesk,17198,116,599,71495,1,0,114384
Comfy-Org/ComfyUI,13266,4013,720,88491,1,0,113244
d3/d3,22738,29,3542,59349,0,1,112908
rust-lang/rust,14916,12418,1476,901256,0,0,112840
mrdoob/three.js,36378,467,2502,1598752,1,1,112528
Hack-with-Github/Awesome-Hacking,10283,31,3944,1334,0,0,112353
microsoft/generative-ai-for-beginners,59481,12,963,6594591,0,1,110924
godotengine/godot,25344,18201,1511,1803926,0,0,110805
Shubhamsaboo/awesome-llm-apps,16424,6,1138,206183,1,0,110767
ggml-org/llama.cpp,18302,1644,711,401837,1,0,110544
axios/axios,11698,159,1155,26913,0,0,109065
microsoft/TypeScript,13396,5037,2150,2960434,1,0,108878
GrowingGit/GitHub-Chinese-Top-Charts,13540,191,2631,123199,1,0,107975
denoland/deno,6062,2249,1383,217318,1,0,106752
tauri-apps/tauri,3609,1416,545,103800,0,0,106731
fatedier/frp,15044,44,1566,31809,0,0,106594
papers-we-love/papers-we-love,6354,3,3123,230849,0,0,106243
2dust/v2rayN,15026,8,892,47497,1,0,105862
goldbergyoni/nodebestpractices,10734,111,1935,69535,0,0,105264
jaywcjlove/awesome-mac,7758,298,1524,38612,0,1,104189
google-gemini/gemini-cli,13678,1803,549,97062,0,1,104154
deepseek-ai/DeepSeek-V3,16748,206,761,1768,0,0,103556
react/create-react-app,27051,2387,1879,25186,0,1,103386
microsoft/terminal,9283,1736,1357,166693,1,0,103195
supabase/supabase,12431,1012,678,2365314,0,1,102503
github/spec-kit,8865,424,562,8294,0,1,101220
immich-app/immich,5629,665,323,286368,0,0,100816
Anduin2017/HowToCook,10965,466,491,466263,0,1,100124
angular/angular,27220,1152,2951,631402,0,0,100113
pytorch/pytorch,27810,18509,1769,1341646,1,0,99957
neovim/neovim,6900,1927,997,382312,1,0,99704
openai/whisper,12197,122,730,4132,0,0,99618
mtdvio/every-programmer-should-know,8725,24,2026,226,1,0,98939
msitarzewski/agency-agents,16386,139,777,2588,1,0,98731
mui/material-ui,32639,1536,1307,741602,0,0,98356
fastapi/fastapi,9304,207,738,47286,0,0,98269
garrytan/gstack,14618,512,600,99410,1,0,98268
ant-design/ant-design,54614,1371,243,263325,1,1,98055
nvbn/thefuck,3951,433,816,4043,1,0,96987
microsoft/Web-Dev-For-Beginners,15486,60,2662,2204541,1,1,95770
tailwindlabs/tailwindcss,5242,92,668,113407,0,0,95034
rasbt/LLMs-from-scratch,14546,6,788,15832,0,0,94964
ryanmcdermott/clean-code-javascript,12467,123,1725,520,1,0,94347
puppeteer/puppeteer,9418,258,1167,1420931,0,1,94334
browser-use/browser-use,10647,226,432,31171,0,0,94258
iluwatar/java-design-patterns,27370,229,3690,47270,1,0,94001
